Unternehmen,Sentiment_FinBERT,Datum_Final
Bechtle AG,-0.9691493511199951,2025-04-25
CANCOM SE,-0.7360252737998962,2025-07-31
CANCOM SE,-0.9116925597190857,2025-04-29
mobilezone holding AG,0.8482884168624878,2025-10-08
Nemetschek SE,0.9015543460845947,2025-07-24
Nemetschek SE,0.9498146176338196,2025-01-20
Nordex SE,0.9497533440589905,2025-10-27
Implenia AG,0.9630621075630188,2025-08-20
Emmi Management AG,0.8942188620567322,2025-02-26
Emmi Management AG,0.9152001142501831,2025-01-24
PNE AG,0.5688455104827881,2025-05-16
PNE AG,0.9288428425788879,2025-02-18
SUSS MicroTec SE,-0.9612659215927124,2025-10-27
SUSS MicroTec SE,0.6107951402664185,2025-01-16
United Internet AG,0.8728432655334473,2025-02-13
1&1 AG,0.7669316530227661,2025-02-13
