Datum;Unternehmen;Sentiment_Score
2025-11-17;CoinShares Digital Securities Limited;-0.9565549492835999
2025-11-17;SIG Group AG;0.0
2025-11-17;STINAG Stuttgart Invest AG;0.0
2025-11-17;Sandoz Group AG;-0.9156227707862854
2025-11-17;Steyr Motors AG;0.0
2025-11-17;el origen food GmbH;0.0
2025-11-17;fox e-mobility AG;0.0
2025-11-18;ARI Motors Industries SE;0.0
2025-11-18;Cicor Technologies Ltd;-0.7619546055793762
2025-11-18;DocCheck AG;0.0
2025-11-18;EPH Group AG;0.0
2025-11-18;Hypoport SE;0.0
2025-11-18;KHD Humboldt Wedag International AG;0.0
2025-11-18;PIERER Mobility AG;0.0
2025-11-18;Readcrest Capital AG;0.0
2025-11-18;Reinet Investments SCA;0.0
2025-11-18;ams-OSRAM AG;0.0
2025-11-19;4finance S.A.;-0.5567018389701843
2025-11-19;ABO Energy GmbH & Co. KGaA;0.0
2025-11-19;Algene Holding SE;0.0
2025-11-19;Brilliant AG;0.0
2025-11-19;Cherry SE;0.0
2025-11-19;FAVEOS SE;0.0
2025-11-19;Jungheinrich AG;0.0
2025-11-19;NFON AG;0.0
2025-11-19;VIENNA INSURANCE GROUP AG Wiener Versicherung Gruppe;0.0
2025-11-19;sino AG;0.0
2025-11-20;Airbus SE;-0.9784481525421143
2025-11-20;PANDION AG;0.0
2025-11-20;TAKKT AG;0.0
